replicate,mt_raw_mean_tv,y_raw_mean_tv,delta_y_minus_mt_raw,mt_noise_floor_subtracted_mean_tv,y_noise_floor_subtracted_mean_tv,delta_y_minus_mt_noise_floor_subtracted,mt_parametric_bias_corrected_mean_tv,y_parametric_bias_corrected_mean_tv,delta_y_minus_mt_parametric_bias_corrected
59,0.5849678760393046,0.5440480485123342,-0.04091982752697032,0.1398990818271753,0.235677575989992,0.0957784941628167,0.34376746565637356,0.4310128536320154,0.08724538797564185
60,0.6947409107183543,0.49171955863685185,-0.20302135208150246,0.24967211650622503,0.204867538495462,-0.04480457801076304,0.45354050033542326,0.378684363756533,-0.07485613657889023
61,0.6246046153880256,0.4579019291000857,-0.16670268628793988,0.18768701165208673,0.18969710248257005,0.002010090830483313,0.3834042050050946,0.34486673421976693,-0.038537470785327654
62,0.5694223256345144,0.44398783949670095,-0.1254344861378135,0.14940684105701602,0.14438134447011888,-0.005025496586897132,0.32822191525158345,0.330952644616382,0.0027307293647985675
63,0.6096524455077087,0.4336341394612071,-0.1760183060465016,0.176256448914627,0.12962843966613757,-0.04662800924848942,0.3684520351247777,0.3205989445808882,-0.047853090543889476
64,0.5885029769483551,0.4814423749297699,-0.1070606020185852,0.15048517479971785,0.21094180494419987,0.06045663014448202,0.3473025665654241,0.368407180049451,0.021104613484026924
65,0.6242011956297671,0.5066790352504639,-0.11752216037930319,0.18728359189382823,0.21638520709799072,0.02910161520416249,0.38300078524683595,0.39364384037014494,0.010643055123308987
66,0.6270621946567324,0.48199998672687755,-0.14506220792985486,0.1819934004446032,0.18666409957062274,0.004670699126019556,0.3858617842738015,0.36896479184655867,-0.016896992427242852
67,0.5774456142546204,0.4730739274528094,-0.10437168680181097,0.14969908280991695,0.17018968426445266,0.020490601454535712,0.3362452038716894,0.3600387325724906,0.023793528700801203
68,0.5628143681715111,0.42564247921390785,-0.13717188895760324,0.12148186364192144,0.12567246392496395,0.004190600283042509,0.32161395778858004,0.312607284333589,-0.009006673454991065
69,0.6138323350823353,0.47328399828399836,-0.1405483367983369,0.18043633848925342,0.19694521531735823,0.016508876828104813,0.37263192469940415,0.3602488034036795,-0.012383121295724664
70,0.5720195739932582,0.5026492513334618,-0.06937032265979637,0.14994776447041622,0.2128210407158815,0.06287327624546529,0.3308191636103272,0.389614056453143,0.058794892842815805
71,0.5238737101120642,0.3929389932301423,-0.13093471688192188,0.10005134447136346,0.11650544457638128,0.016454100105017813,0.28267329972913313,0.2799037983498235,-0.002769501379309647
